,State,County_Name,Party,Race_Code,Ethnic_Code,Total_Voters,Election_Date
276,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
277,NC,MECKLENBURG,REP,W,NL,3,2022-07-26
278,NC,MECKLENBURG,REP,W,NL,10,2022-07-26
279,NC,MECKLENBURG,REP,W,NL,2,2022-07-26
280,NC,MECKLENBURG,REP,W,NL,8,2022-07-26
281,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
282,NC,MECKLENBURG,UNA,O,NL,1,2022-07-26
283,NC,MECKLENBURG,UNA,U,NL,2,2022-07-26
284,NC,MECKLENBURG,UNA,U,NL,1,2022-07-26
285,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
286,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
287,NC,MECKLENBURG,UNA,W,NL,6,2022-07-26
288,NC,MECKLENBURG,UNA,W,NL,8,2022-07-26
289,NC,MECKLENBURG,UNA,W,NL,3,2022-07-26
290,NC,MECKLENBURG,UNA,W,NL,8,2022-07-26
291,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
292,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
293,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
294,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
295,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
296,NC,MECKLENBURG,DEM,O,HL,2,2022-07-26
297,NC,MECKLENBURG,DEM,O,HL,1,2022-07-26
298,NC,MECKLENBURG,DEM,U,HL,1,2022-07-26
299,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
300,NC,MECKLENBURG,DEM,U,UN,1,2022-07-26
301,NC,MECKLENBURG,DEM,W,HL,1,2022-07-26
302,NC,MECKLENBURG,DEM,W,NL,4,2022-07-26
303,NC,MECKLENBURG,DEM,W,NL,5,2022-07-26
304,NC,MECKLENBURG,DEM,W,NL,7,2022-07-26
305,NC,MECKLENBURG,DEM,W,NL,6,2022-07-26
306,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
307,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
308,NC,MECKLENBURG,DEM,W,UN,2,2022-07-26
309,NC,MECKLENBURG,DEM,W,UN,2,2022-07-26
310,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
311,NC,MECKLENBURG,REP,W,NL,3,2022-07-26
312,NC,MECKLENBURG,REP,W,NL,8,2022-07-26
313,NC,MECKLENBURG,REP,W,NL,2,2022-07-26
314,NC,MECKLENBURG,REP,W,NL,7,2022-07-26
315,NC,MECKLENBURG,REP,W,UN,1,2022-07-26
316,NC,MECKLENBURG,REP,W,UN,2,2022-07-26
317,NC,MECKLENBURG,UNA,B,UN,1,2022-07-26
318,NC,MECKLENBURG,UNA,I,UN,1,2022-07-26
319,NC,MECKLENBURG,UNA,O,HL,1,2022-07-26
320,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
321,NC,MECKLENBURG,UNA,W,NL,5,2022-07-26
322,NC,MECKLENBURG,UNA,W,NL,13,2022-07-26
323,NC,MECKLENBURG,UNA,W,NL,1,2022-07-26
324,NC,MECKLENBURG,UNA,W,NL,14,2022-07-26
325,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
326,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
327,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
328,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
329,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
330,NC,MECKLENBURG,DEM,B,NL,2,2022-07-26
331,NC,MECKLENBURG,DEM,M,NL,1,2022-07-26
332,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
333,NC,MECKLENBURG,DEM,O,NL,1,2022-07-26
334,NC,MECKLENBURG,DEM,U,HL,1,2022-07-26
335,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
336,NC,MECKLENBURG,DEM,W,NL,9,2022-07-26
337,NC,MECKLENBURG,DEM,W,NL,18,2022-07-26
338,NC,MECKLENBURG,DEM,W,NL,4,2022-07-26
339,NC,MECKLENBURG,DEM,W,NL,5,2022-07-26
340,NC,MECKLENBURG,REP,B,NL,1,2022-07-26
341,NC,MECKLENBURG,REP,B,NL,1,2022-07-26
342,NC,MECKLENBURG,REP,U,UN,1,2022-07-26
343,NC,MECKLENBURG,REP,W,NL,4,2022-07-26
344,NC,MECKLENBURG,REP,W,NL,9,2022-07-26
345,NC,MECKLENBURG,REP,W,NL,5,2022-07-26
346,NC,MECKLENBURG,REP,W,NL,10,2022-07-26
347,NC,MECKLENBURG,UNA,A,NL,1,2022-07-26
348,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
349,NC,MECKLENBURG,UNA,B,NL,1,2022-07-26
350,NC,MECKLENBURG,UNA,M,NL,1,2022-07-26
351,NC,MECKLENBURG,UNA,U,UN,1,2022-07-26
352,NC,MECKLENBURG,UNA,W,NL,3,2022-07-26
353,NC,MECKLENBURG,UNA,W,NL,9,2022-07-26
354,NC,MECKLENBURG,UNA,W,NL,2,2022-07-26
355,NC,MECKLENBURG,UNA,W,NL,9,2022-07-26
356,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
357,NC,MECKLENBURG,UNA,W,UN,1,2022-07-26
358,NC,MECKLENBURG,DEM,B,NL,1,2022-07-26
359,NC,MECKLENBURG,DEM,W,NL,2,2022-07-26
360,NC,MECKLENBURG,DEM,W,NL,9,2022-07-26
361,NC,MECKLENBURG,DEM,W,NL,10,2022-07-26
362,NC,MECKLENBURG,DEM,W,NL,1,2022-07-26
363,NC,MECKLENBURG,DEM,W,NL,6,2022-07-26
364,NC,MECKLENBURG,DEM,W,NL,7,2022-07-26
365,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
366,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
367,NC,MECKLENBURG,DEM,W,UN,1,2022-07-26
368,NC,MECKLENBURG,REP,U,UN,1,2022-07-26
369,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
370,NC,MECKLENBURG,REP,W,NL,6,2022-07-26
371,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
372,NC,MECKLENBURG,REP,W,NL,1,2022-07-26
373,NC,MECKLENBURG,UNA,W,NL,6,2022-07-26
